GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PRESLAR,G20PREOHAM,G20PREOFUE,G20USSDBOO,G20USSRMEH,G20USSGHOF,G20USSOFER,G20USSOBUR
34001005101,34,001,005101,473.52,533.41,7.31,2.79,1.39,0.7,2.09,0.35,475.26,511.12,2.79,10.45,2.44
34001005102,34,001,005102,470.94,530.5,7.27,2.77,1.39,0.69,2.08,0.35,472.67,508.34,2.77,10.39,2.42
34001005103,34,001,005103,414.78,467.2,6.4,2.44,1.22,0.61,1.83,0.31,416.3,447.69,2.44,9.15,2.14
34001005201,34,001,005201,241.05,222.91,2.54,1.76,0.98,0.39,0,0,235.98,214.13,0.98,2.15,2.15
34001005202,34,001,005202,539.72,499.11,5.68,3.93,2.18,0.87,0,0,528.37,479.46,2.18,4.81,4.8
34001005203,34,001,005203,439.39,406.33,4.62,3.2,1.78,0.71,0,0,430.14,390.33,1.78,3.91,3.91
34001010101,34,001,010101,383.32,119.54,1.6,1.13,0.14,1.03,0.19,0.14,373.35,101.66,1.98,6.82,1.36
34001010102,34,001,010102,379.82,118.45,1.58,1.12,0.14,1.03,0.19,0.14,369.93,100.73,1.96,6.76,1.35
34001010103,34,001,010103,799.72,249.4,3.34,2.36,0.29,2.16,0.39,0.29,778.91,212.1,4.12,14.23,2.85
34001010104,34,001,010104,441.32,137.07,1.83,1.3,0.16,1.19,0.22,0.16,429.61,116.55,2.26,7.89,1.57
34001010201,34,001,010201,738.11,136.03,1.61,1.61,0.4,2.01,0.4,0,680.56,111.48,2.01,18.51,2.01
34001010202,34,001,010202,635.35,117.09,1.39,1.39,0.35,1.73,0.35,0,585.81,95.96,1.73,15.94,1.73
34001010203,34,001,010203,456.15,84.07,0.99,0.99,0.25,1.24,0.25,0,420.58,68.9,1.24,11.44,1.24
34001010301,34,001,010301,644.38,200.95,2.69,1.9,0.24,1.74,0.32,0.24,627.62,170.9,3.32,11.47,2.29
34001010302,34,001,010302,969.08,302.21,4.04,2.85,0.36,2.62,0.48,0.36,943.87,257.02,5,17.25,3.45
34001010303,34,001,010303,380.77,118.74,1.59,1.12,0.14,1.03,0.19,0.14,370.86,100.99,1.96,6.78,1.36
34001010304,34,001,010304,306.16,95.48,1.28,0.9,0.11,0.83,0.15,0.11,298.19,81.2,1.58,5.45,1.09
34001010401,34,001,010401,198.98,62.05,0.83,0.59,0.07,0.54,0.1,0.07,193.8,52.77,1.03,3.54,0.71
34001010402,34,001,010402,1035.01,322.77,4.32,3.05,0.38,2.79,0.51,0.38,1008.08,274.5,5.34,18.42,3.68
34001010403,34,001,010403,250.25,78.04,1.04,0.74,0.09,0.68,0.12,0.09,243.74,66.37,1.29,4.45,0.89
34001010404,34,001,010404,139.8,43.6,0.58,0.41,0.05,0.38,0.07,0.05,136.16,37.08,0.72,2.49,0.5
34001010501,34,001,010501,438.94,136.89,1.83,1.29,0.16,1.19,0.22,0.16,427.52,116.42,2.26,7.81,1.56
34001010502,34,001,010502,353.76,110.32,1.48,1.04,0.13,0.96,0.17,0.13,344.56,93.82,1.82,6.3,1.26
34001010601,34,001,010601,222.48,69.38,0.93,0.66,0.08,0.6,0.11,0.08,216.69,59.01,1.15,3.96,0.79
34001010602,34,001,010602,707.52,220.64,2.95,2.08,0.26,1.91,0.35,0.26,689.11,187.65,3.65,12.59,2.52
34001010603,34,001,010603,208.95,65.16,0.87,0.62,0.08,0.56,0.1,0.08,203.51,55.42,1.08,3.72,0.74
34001010604,34,001,010604,227.99,71.1,0.95,0.67,0.08,0.62,0.11,0.08,222.06,60.47,1.18,4.06,0.81
34001015101,34,001,015101,524.89,918.79,11.49,4.8,0,0,0.95,2.85,499.74,925.34,2.95,8.64,1.97
34001015201,34,001,015201,476.02,700.83,5.86,3.91,0,0,0,0,441.81,697.9,6.84,4.89,4.89
34001015301,34,001,015301,566.65,712.25,6.89,2.95,0,0.98,0.98,0,538.12,703.39,1.97,7.87,4.92
34001015401,34,001,015401,556.07,599.44,5.78,1.93,0.96,0.96,0.96,0,558.96,558,2.89,10.6,3.85
34001020001,34,001,020001,261.33,309.04,4.07,2.17,0,1.08,0.81,0.81,257.54,286.54,3.8,8.4,1.08
34001020002,34,001,020002,702.67,830.96,10.93,5.83,0,2.92,2.19,2.19,692.46,770.46,10.2,22.6,2.92
34001025001,34,001,025001,391.63,535.84,6.41,2.75,1.14,0.46,0.69,0.46,388.66,504.94,2.06,9.16,5.49
34001025002,34,001,025002,280.47,378.04,4.53,1.93,0.8,0.32,0.49,0.33,278.09,355.99,1.51,6.83,3.88
34001025003,34,001,025003,679.65,929.89,11.12,4.77,1.99,0.79,1.19,0.79,674.48,876.27,3.57,15.89,9.53
34001025004,34,001,025004,368.17,503.73,6.02,2.58,1.08,0.43,0.65,0.43,365.37,474.68,1.94,8.61,5.16
34001030101,34,001,030101,131.58,249.61,1.4,1.12,0.04,0.01,1.05,0.06,124.87,247.17,1.35,3.24,1.1
34001040001,34,001,040001,1096.13,1013.32,15.85,6.05,2.12,3.32,1.95,1.19,1062.17,975,8.23,24.66,6.15
34001040002,34,001,040002,335.24,309.66,4.85,1.83,0.65,1.03,0.59,0.36,324.89,297.73,2.5,7.62,1.88
34001040003,34,001,040003,502.01,463.7,7.27,2.74,0.97,1.55,0.89,0.54,486.51,445.84,3.75,11.4,2.82
34001040004,34,001,040004,463.62,429.69,6.72,2.54,0.89,1.42,0.82,0.51,449.31,413.14,3.46,10.53,2.6
34001040005,34,001,040005,401.1,370.5,5.81,2.19,0.77,1.24,0.71,0.43,388.71,356.23,3,9.11,2.25
34001040006,34,001,040006,267.96,247.51,3.88,1.47,0.52,0.83,0.47,0.29,259.68,237.98,2,6.09,1.51
34001040007,34,001,040007,213.71,197.4,3.09,1.17,0.41,0.66,0.38,0.23,207.11,189.79,1.6,4.85,1.2
34001040008,34,001,040008,471.4,425.8,6.67,2.53,0.88,1.43,0.82,0.51,456.23,409.12,3.47,10.99,2.61
34001040009,34,001,040009,3028.13,2797.04,43.84,16.56,5.83,9.33,5.36,3.26,2934.62,2689.31,22.62,68.79,17.02
34001040010,34,001,040010,1015.22,937.74,14.7,5.55,1.95,3.13,1.8,1.09,983.87,901.62,7.58,23.06,5.71
34001040011,34,001,040011,325.51,300.67,4.71,1.78,0.63,1,0.58,0.35,315.46,289.09,2.43,7.39,1.83
34001040012,34,001,040012,579.65,531.66,8.49,3.19,1.08,1.79,1.02,0.61,562.28,511.03,4.38,13.13,3.27
34001040013,34,001,040013,282.04,241.29,3.77,1.46,0.5,0.82,0.46,0.3,272.12,231.43,2,6.97,1.51
34001040014,34,001,040014,917.67,846.42,13.2,5.04,1.8,2.8,1.59,0.97,889.39,813.76,6.79,20.66,5.21
34001040015,34,001,040015,229.81,212.28,3.33,1.26,0.44,0.71,0.41,0.25,222.72,204.1,1.72,5.22,1.29
34001040016,34,001,040016,1250.62,1155.18,18.11,6.84,2.41,3.85,2.22,1.35,1212,1110.69,9.34,28.41,7.03
34001040017,34,001,040017,439.68,406.12,6.37,2.4,0.85,1.35,0.78,0.47,426.1,390.48,3.28,9.99,2.47
34001040018,34,001,040018,299.83,284.68,4.39,1.66,0.58,0.91,0.52,0.37,290.64,273.73,2.25,6.82,1.67
34001040019,34,001,040019,204.74,189.12,2.96,1.12,0.39,0.63,0.36,0.22,198.42,181.83,1.53,4.65,1.15
34001040020,34,001,040020,345.32,318.97,5,1.89,0.66,1.06,0.61,0.37,334.66,306.69,2.58,7.84,1.94
34001040021,34,001,040021,139.35,128.71,2.02,0.76,0.27,0.43,0.25,0.15,135.04,123.75,1.04,3.17,0.78
34001040022,34,001,040022,264.18,244.02,3.82,1.44,0.51,0.81,0.47,0.28,256.02,234.62,1.97,6,1.49
34001042101,34,001,042101,41.2,30.81,0.69,0.11,0.14,0.04,0.04,0.04,39.86,28.46,0.43,1.38,0.29
34001042102,34,001,042102,29.44,22.02,0.49,0.08,0.1,0.03,0.03,0.03,28.49,20.34,0.31,0.98,0.21
34001042103,34,001,042103,378.32,282.91,6.32,1,1.33,0.33,0.33,0.33,366.02,261.3,3.99,12.63,2.66
34001042201,34,001,042201,120.61,90.19,2.01,0.32,0.42,0.11,0.11,0.11,116.69,83.3,1.27,4.03,0.85
34001042202,34,001,042202,35.05,26.21,0.59,0.09,0.12,0.03,0.03,0.03,33.91,24.21,0.37,1.17,0.25
34001042203,34,001,042203,634.29,495.02,10.56,1.94,2.03,0.69,0.63,0.59,614.45,461,6.54,20.24,4.41
34001045001,34,001,045001,364.44,831.05,8.37,3.08,1.05,0.09,0.07,2.98,357.77,799.49,3.44,8.15,1.22
34001050001,34,001,050001,380,672,18,0,0,2,2,2,367,649,7,10,10
34001055001,34,001,055001,334.94,319.16,5.48,1.78,0.53,0.73,0.53,0.4,326.65,307.37,3.04,8.06,2.18
34001055002,34,001,055002,2034.96,1939.06,33.3,10.83,3.21,4.41,3.21,2.41,1984.6,1867.43,18.46,48.95,13.24
34001055003,34,001,055003,68.6,65.53,1.12,0.37,0.11,0.15,0.11,0.08,66.93,63.11,0.62,1.65,0.45
34001055004,34,001,055004,2275.99,2170.18,37.26,12.12,3.59,4.94,3.59,2.69,2219.65,2090.03,20.65,54.76,14.81
34001055005,34,001,055005,333.24,317.53,5.45,1.77,0.53,0.72,0.53,0.39,324.99,305.8,3.02,8.02,2.17
34001055006,34,001,055006,143.11,136.14,2.33,0.76,0.23,0.32,0.23,0.17,139.52,131.1,1.29,3.43,0.92
34001055007,34,001,055007,1232.49,1174.46,20.18,6.56,1.94,2.67,1.94,1.46,1201.98,1131.1,11.18,29.65,8.02
34001055008,34,001,055008,928.71,899.73,15.48,4.97,1.44,1.98,1.46,1.15,905.54,867.62,8.38,22.23,5.98
34001055009,34,001,055009,316.95,302.02,5.19,1.69,0.5,0.69,0.5,0.37,309.11,290.86,2.87,7.62,2.06
34001055010,34,001,055010,104.86,99.92,1.72,0.56,0.17,0.23,0.17,0.12,102.26,96.23,0.95,2.52,0.68
34001055011,34,001,055011,30.4,28.97,0.5,0.16,0.05,0.07,0.05,0.04,29.65,27.9,0.28,0.73,0.2
34001055012,34,001,055012,346.63,330.29,5.67,1.85,0.55,0.75,0.55,0.41,338.05,318.09,3.14,8.34,2.26
34001055013,34,001,055013,639.75,608.92,10.47,3.41,1.01,1.39,1.01,0.75,623.95,586.4,5.8,15.38,4.16
34001055014,34,001,055014,206.15,196.44,3.37,1.1,0.33,0.45,0.33,0.24,201.05,189.18,1.87,4.96,1.34
34001055015,34,001,055015,392.54,374.05,6.42,2.09,0.62,0.85,0.62,0.46,382.83,360.23,3.56,9.44,2.55
34001055016,34,001,055016,376.76,359,6.17,2.01,0.59,0.82,0.59,0.45,367.43,345.74,3.42,9.06,2.45
34001055017,34,001,055017,283.31,269.96,4.64,1.51,0.45,0.61,0.45,0.34,276.3,259.99,2.57,6.82,1.84
34001060001,34,001,060001,378.11,318.55,6.31,2.26,0.44,1.21,0.57,0.24,371.14,304.93,3.23,8.25,2.28
34001060002,34,001,060002,574.99,482.93,9.59,3.43,0.67,1.82,0.88,0.37,564.2,462.42,4.92,12.64,3.45
34001060003,34,001,060003,2556.17,2139.21,42.67,15.31,2.93,8.14,3.91,1.63,2508.61,2048,21.83,56.03,15.31
34001060004,34,001,060004,110.6,92.56,1.85,0.66,0.13,0.35,0.17,0.07,108.54,88.61,0.94,2.42,0.66
34001060005,34,001,060005,436.15,365.01,7.28,2.61,0.5,1.39,0.67,0.28,428.04,349.45,3.72,9.56,2.61
34001060006,34,001,060006,1344.38,1125.08,22.44,8.05,1.54,4.28,2.06,0.86,1319.36,1077.11,11.48,29.47,8.05
34001060007,34,001,060007,562.96,471.25,9.39,3.37,0.65,1.79,0.86,0.36,552.46,451.16,4.81,12.34,3.37
34001060008,34,001,060008,684.63,572.95,11.43,4.1,0.79,2.18,1.05,0.44,671.89,548.52,5.85,15.01,4.1
34001060009,34,001,060009,342.4,286.55,5.72,2.05,0.39,1.09,0.52,0.22,336.03,274.33,2.92,7.51,2.05
34001060010,34,001,060010,52.24,43.72,0.87,0.31,0.06,0.17,0.08,0.03,51.27,41.86,0.45,1.15,0.31
34001060011,34,001,060011,224.34,187.75,3.75,1.34,0.26,0.71,0.34,0.14,220.17,179.74,1.92,4.92,1.34
34001060012,34,001,060012,407.46,340.99,6.8,2.44,0.47,1.3,0.62,0.26,399.87,326.45,3.48,8.93,2.44
34001060013,34,001,060013,141.84,118.7,2.37,0.85,0.16,0.45,0.22,0.09,139.2,113.64,1.21,3.11,0.85
34001065001,34,001,065001,815.11,1256.98,14.61,2.48,1.93,3.58,2.21,1.1,787.82,1184.49,6.89,27.01,6.89
34001065002,34,001,065002,355.65,548.44,6.37,1.08,0.84,1.56,0.96,0.48,343.74,516.81,3.01,11.79,3.01
34001065003,34,001,065003,247.08,381.03,4.43,0.75,0.58,1.09,0.67,0.33,238.81,359.05,2.09,8.19,2.09
34001065004,34,001,065004,617.56,952.34,11.07,1.88,1.46,2.72,1.67,0.84,596.89,897.42,5.22,20.47,5.22
34001065005,34,001,065005,346.45,534.26,6.21,1.05,0.82,1.52,0.94,0.47,334.85,503.45,2.93,11.48,2.93
34001065006,34,001,065006,286.24,441.41,5.13,0.87,0.68,1.26,0.77,0.39,276.65,415.95,2.42,9.49,2.42
34001065007,34,001,065007,288.91,445.53,5.18,0.88,0.68,1.27,0.78,0.39,279.23,419.83,2.44,9.57,2.44
34001070101,34,001,070101,602.26,670.57,10.25,3.98,0,1.14,1.71,0.57,582.34,658.62,1.71,6.83,3.42
34001070102,34,001,070102,452.55,501.73,7.67,2.98,0.02,0.87,1.27,0.43,437.61,492.57,1.34,5.26,2.57
34001070201,34,001,070201,404.58,428.76,9.74,2.89,0.72,0.72,1.44,0,382.93,437.43,4.69,5.77,2.89
34001070202,34,001,070202,233.48,247.43,5.62,1.67,0.42,0.42,0.83,0,220.98,252.43,2.71,3.33,1.67
34001070203,34,001,070203,482.87,512.16,11.57,3.44,0.85,0.86,1.72,0.01,457.19,522.17,5.53,6.87,3.43
34001075001,34,001,075001,263,371,2,0,0,0,0,0,244,373,0,3,1
34001080001,34,001,080001,364.43,380.07,2.15,1.56,0.39,0.39,0.39,0.39,358.38,372.64,1.37,2.74,1.37
34001080002,34,001,080002,514.33,536.39,3.03,2.21,0.55,0.55,0.55,0.55,505.78,525.92,1.93,3.86,1.93
34001080003,34,001,080003,747.9,779.99,4.41,3.21,0.8,0.8,0.8,0.8,735.47,764.75,2.81,5.61,2.81
34001080004,34,001,080004,199.86,208.44,1.18,0.86,0.21,0.21,0.21,0.21,196.54,204.36,0.75,1.5,0.75
34001085101,34,001,085101,464.48,741.53,8.89,2.85,0.71,1.07,0.71,0.36,448.83,716.28,6.05,13.16,2.49
34001085201,34,001,085201,335.36,534.79,6.41,2.03,0.59,0.76,0.51,0.25,324.1,516.68,4.4,9.41,1.82
34001085301,34,001,085301,505.68,807.31,9.68,3.1,0.77,1.16,0.77,0.39,488.64,779.82,6.58,14.33,2.71
34001090101,34,001,090101,398.74,413.62,6.94,0.99,1.32,0.66,0.33,0.99,390.47,395.1,2.31,6.28,1.98
34001090102,34,001,090102,134,139.09,2.33,0.34,0.44,0.22,0.11,0.33,131.21,132.91,0.77,2.11,0.67
34001090103,34,001,090103,532.89,552.78,9.28,1.33,1.77,0.88,0.44,1.33,521.85,528.03,3.09,8.4,2.65
34001090104,34,001,090104,141.61,146.89,2.47,0.35,0.47,0.23,0.12,0.35,138.67,140.32,0.82,2.23,0.7
34001090201,34,001,090201,173.78,177.06,2.63,1.05,0,0.13,0.26,0.13,166.83,172.73,1.97,4.2,0.79
34001090202,34,001,090202,225.85,230.12,3.41,1.36,0,0.17,0.34,0.17,216.81,224.49,2.56,5.46,1.02
34001090203,34,001,090203,527.59,537.56,7.97,3.19,0,0.4,0.8,0.4,506.47,524.41,5.98,12.75,2.39
34001090204,34,001,090204,396.25,403.74,5.99,2.39,0,0.3,0.6,0.3,380.39,393.86,4.49,9.58,1.8
34001095101,34,001,095101,744.07,150.46,2.57,2.31,0.51,0.77,0.26,0.51,675,128.12,1.8,34.66,3.59
34001095102,34,001,095102,395.69,80.01,1.37,1.23,0.27,0.41,0.14,0.27,358.96,68.13,0.96,18.43,1.91
34001095103,34,001,095103,295.91,59.83,1.02,0.92,0.2,0.31,0.1,0.2,268.44,50.95,0.71,13.78,1.43
34001095104,34,001,095104,1460.61,295.35,5.04,4.54,1.01,1.51,0.5,1.01,1325.03,251.5,3.53,68.04,7.06
34001095201,34,001,095201,1548.81,234.7,2.71,3.16,0.02,1.59,0.53,1.56,1425.61,190.25,4.73,69.94,4.19
34001095202,34,001,095202,416.85,72.75,0.89,0.89,0.03,0.45,0.16,0.42,384.21,60.73,1.33,18.59,1.16
34001095203,34,001,095203,140.16,20.64,0.24,0.28,0,0.14,0.05,0.14,128.94,16.64,0.42,6.36,0.38
34001095204,34,001,095204,860.02,126.66,1.45,1.74,0,0.87,0.29,0.87,791.2,102.08,2.6,39.04,2.31
34001100101,34,001,100101,173.76,207.72,9.99,0,0,0,0,0,167.77,213.71,0,2,1
34001100201,34,001,100201,114.31,254.01,7.82,0.03,0.01,0.01,0.01,0.01,114.16,249.93,1.02,2.08,0.04
34001105101,34,001,105101,387.68,396.1,5.55,4.44,0.66,0.94,0.98,0.35,378.97,386.45,3.16,7.15,2.58
34001105102,34,001,105102,452.62,477.32,7.06,5.45,0.64,1.28,1.28,0.32,442.68,466.1,3.53,8.66,3.21
34001105103,34,001,105103,220.63,232.67,3.44,2.66,0.31,0.63,0.63,0.16,215.79,227.2,1.72,4.22,1.56
34001105104,34,001,105104,392.19,413.59,6.11,4.73,0.56,1.11,1.11,0.28,383.58,403.87,3.06,7.5,2.78
34001105201,34,001,105201,444.48,373.22,3.15,3.68,1.48,0.04,0.34,0.88,433.37,362.07,4.49,6.41,1.86
34001105202,34,001,105202,233.74,194.41,1.59,1.9,0.79,0,0.16,0.48,227.87,188.54,2.38,3.33,0.95
34001105203,34,001,105203,326.88,271.89,2.22,2.66,1.11,0,0.22,0.67,318.68,263.68,3.33,4.66,1.33
34001105204,34,001,105204,414.86,345.06,2.81,3.38,1.41,0,0.28,0.84,404.45,334.65,4.22,5.91,1.69
34001110001,34,001,110001,426.59,398.74,4.72,1.95,0.16,1.47,0.65,0.16,411.44,385.05,2.77,9.61,3.42
34001110002,34,001,110002,501.51,468.77,5.55,2.3,0.19,1.72,0.77,0.19,483.7,452.68,3.26,11.3,4.02
34001110003,34,001,110003,540.38,505.09,5.98,2.48,0.21,1.86,0.83,0.21,521.19,487.76,3.51,12.17,4.33
34001110004,34,001,110004,296.37,277.02,3.28,1.36,0.11,1.02,0.45,0.11,285.85,267.52,1.92,6.68,2.38
34001110005,34,001,110005,854.15,798.38,9.46,3.91,0.33,2.94,1.3,0.33,823.82,770.99,5.54,19.24,6.85
34001115001,34,001,115001,340.61,530.6,5.11,1.02,1.02,2.04,0,0.51,341.63,503.05,3.57,3.07,3.57
34001115002,34,001,115002,313.06,487.39,4.69,0.94,0.94,1.87,0,0.47,313.99,462.08,3.28,2.81,3.28
34001ZZZZZZ,34,001,ZZZZZZ,146,126.9,1.2,0.64,0.1,0.25,0.15,0.15,142.42,121.94,0.74,2.13,0.68
34003005001,34,003,005001,716.99,567.35,10.21,3.5,0.29,0.58,0.58,0.29,674.4,593.02,7.29,4.08,2.92
34003005002,34,003,005002,526.55,416.69,7.5,2.57,0.21,0.43,0.43,0.21,495.27,435.54,5.36,3,2.14
34003005003,34,003,005003,416.68,329.73,5.93,2.03,0.17,0.34,0.34,0.17,391.93,344.64,4.24,2.37,1.7
34003005004,34,003,005004,798.04,631.48,11.36,3.9,0.32,0.65,0.65,0.32,750.63,660.05,8.12,4.55,3.25
34003010001,34,003,010001,508.55,457.8,2.72,0.01,0.01,0.9,0.9,0.89,464.78,482.73,0.92,2.7,2.7
34003015001,34,003,015001,504.39,268.25,2.94,1.7,0.79,0.96,0.17,0.23,501.17,243.77,3.96,7.63,2.6
34003015002,34,003,015002,513.09,267.55,3.08,1.74,0.78,0.92,0.2,0.22,507.82,245.69,4.16,7.41,2.59
34003015003,34,003,015003,781.72,415.74,4.56,2.63,1.23,1.49,0.26,0.35,776.73,377.81,6.13,11.83,4.03
34003015004,34,003,015004,463.16,246.32,2.7,1.56,0.73,0.88,0.16,0.21,460.2,223.84,3.63,7.01,2.39
34003015005,34,003,015005,397.07,211.18,2.31,1.34,0.62,0.76,0.13,0.18,394.54,191.91,3.12,6.01,2.05
34003015006,34,003,015006,257,136.68,1.5,0.86,0.4,0.49,0.09,0.12,255.35,124.21,2.02,3.89,1.33
34003015007,34,003,015007,464.85,247.22,2.71,1.56,0.73,0.89,0.16,0.21,461.88,224.66,3.65,7.03,2.4
34003015008,34,003,015008,638.82,339.74,3.72,2.15,1,1.22,0.21,0.29,634.74,308.74,5.01,9.67,3.29
34003015009,34,003,015009,105.29,55.58,0.62,0.36,0.16,0.2,0.04,0.05,104.47,50.69,0.84,1.57,0.54
34003015010,34,003,015010,885.65,471.02,5.16,2.98,1.39,1.69,0.3,0.4,879.99,428.03,6.95,13.4,4.57
34003015011,34,003,015011,484.62,257.74,2.82,1.63,0.76,0.92,0.16,0.22,481.53,234.22,3.8,7.33,2.5
34003015012,34,003,015012,371.09,197.36,2.16,1.25,0.58,0.71,0.12,0.17,368.72,179.35,2.91,5.62,1.91
34003015013,34,003,015013,671.58,357.17,3.91,2.26,1.05,1.28,0.23,0.3,667.29,324.57,5.27,10.16,3.46
34003015014,34,003,015014,425.88,226.5,2.48,1.43,0.67,0.81,0.14,0.19,423.16,205.83,3.34,6.44,2.2
34003015015,34,003,015015,1012.17,538.3,5.9,3.4,1.59,1.93,0.34,0.45,1005.7,489.18,7.94,15.32,5.22
34003015016,34,003,015016,219.15,116.55,1.28,0.74,0.34,0.42,0.07,0.1,217.75,105.92,1.72,3.32,1.13
34003015017,34,003,015017,773.25,411.24,4.51,2.6,1.21,1.47,0.26,0.35,768.31,373.71,6.07,11.7,3.99
34003020001,34,003,020001,667.33,348.7,4.23,4.7,0.7,1.17,1.17,0.47,664.28,304.76,7.28,14.8,7.75
34003020002,34,003,020002,472.87,247.09,3,3.33,0.5,0.83,0.83,0.33,470.7,215.95,5.16,10.49,5.49
34003020003,34,003,020003,846.4,442.28,5.36,5.96,0.89,1.49,1.49,0.6,842.53,386.54,9.24,18.78,9.83
34003020004,34,003,020004,460.74,240.75,2.92,3.24,0.49,0.81,0.81,0.32,458.63,210.42,5.03,10.22,5.35
34003020005,34,003,020005,190.8,99.7,1.21,1.34,0.2,0.34,0.34,0.13,189.91,87.16,2.09,4.23,2.21
34003020006,34,003,020006,188.37,91.1,1.14,1.2,0.18,0.33,0.28,0.13,187.43,79.56,1.87,3.88,1.96
34003025001,34,003,025001,766.16,786.93,6.67,5.92,1.34,0.49,0.01,0.9,751.71,710.98,12.67,17.56,9.19
34003025002,34,003,025002,186.59,193.2,1.62,1.39,0.35,0.12,0,0.23,182.76,174.98,3.13,4.18,2.32
34003025003,34,003,025003,199.1,206.15,1.73,1.49,0.37,0.12,0,0.25,195.01,186.71,3.34,4.46,2.48
34003025004,34,003,025004,303.65,314.42,2.64,2.27,0.57,0.19,0,0.38,297.42,284.77,5.1,6.8,3.78
34003025005,34,003,025005,194.06,200.94,1.69,1.45,0.36,0.12,0,0.24,190.08,181.99,3.26,4.34,2.41
34003030001,34,003,030001,552.33,354.66,3.91,3.11,0.09,0.53,0.53,0.36,547.98,315.21,6.57,7.46,3.2
34003030002,34,003,030002,407.14,261.43,2.88,2.29,0.07,0.39,0.39,0.26,403.93,232.35,4.85,5.5,2.36
34003030003,34,003,030003,319.57,205.2,2.26,1.8,0.05,0.31,0.31,0.21,317.05,182.38,3.8,4.32,1.85
34003030004,34,003,030004,316.5,203.23,2.24,1.78,0.05,0.31,0.31,0.2,314,180.62,3.77,4.28,1.83
34003030005,34,003,030005,683.69,439.01,4.84,3.85,0.11,0.66,0.66,0.44,678.3,390.18,8.14,9.24,3.96
34003030006,34,003,030006,452.47,290.53,3.2,2.55,0.07,0.44,0.44,0.29,448.9,258.22,5.39,6.11,2.62
34003030007,34,003,030007,507.01,325.56,3.59,2.85,0.08,0.49,0.49,0.33,503.01,289.35,6.03,6.85,2.94
34003030008,34,003,030008,299.6,192.37,2.12,1.69,0.05,0.29,0.29,0.19,297.23,170.98,3.57,4.05,1.73
34003030009,34,003,030009,420.2,269.82,2.97,2.37,0.07,0.41,0.41,0.27,416.89,239.81,5,5.68,2.43
34003030010,34,003,030010,817.03,523.42,5.78,4.6,0.13,0.79,0.79,0.53,810.5,465.33,9.71,11.01,4.71
34003030011,34,003,030011,364.89,234.3,2.58,2.05,0.06,0.35,0.35,0.23,362.02,208.24,4.34,4.93,2.11
34003030012,34,003,030012,359.52,230.85,2.54,2.02,0.06,0.35,0.35,0.23,356.68,205.17,4.28,4.86,2.08
34003030013,34,003,030013,488.57,313.72,3.46,2.75,0.08,0.47,0.47,0.31,484.72,278.82,5.82,6.6,2.83
34003030014,34,003,030014,124.22,79.76,0.88,0.7,0.02,0.12,0.12,0.08,123.24,70.89,1.48,1.68,0.72
34003030015,34,003,030015,109.62,70.39,0.78,0.62,0.02,0.11,0.11,0.07,108.75,62.56,1.3,1.48,0.63
34003035001,34,003,035001,258.68,150.41,2.01,0.7,0.53,0.26,0.18,0.09,253.42,149.36,1.14,1.05,0.26
34003035002,34,003,035002,510.38,296.76,3.98,1.38,1.04,0.52,0.35,0.17,500.01,294.68,2.25,2.07,0.52
34003035003,34,003,035003,495.01,287.85,3.86,1.34,1.01,0.5,0.34,0.17,484.97,285.83,2.18,2.01,0.5
34003035004,34,003,035004,433.59,252.11,3.38,1.17,0.88,0.44,0.29,0.15,424.78,250.35,1.91,1.76,0.44
34003035005,34,003,035005,670.96,390.13,5.23,1.82,1.36,0.68,0.45,0.23,657.33,387.4,2.95,2.73,0.68
34003035006,34,003,035006,627.52,384.01,4.74,1.54,1.15,0.68,0.49,0.3,610.8,384.66,2.6,2.62,0.89
34003040001,34,003,040001,331.28,237.12,3.99,0.62,0.37,0,0.25,0,318.82,233.14,2.12,2.37,1.49
34003040002,34,003,040002,320.58,228.12,3.84,0.61,0.36,0,0.24,0,308.46,224.42,2.07,2.29,1.44
34003040003,34,003,040003,993.2,710.92,11.95,1.87,1.12,0,0.75,0,955.86,698.97,6.35,7.09,4.48
34003040004,34,003,040004,420.8,301.01,5.06,0.79,0.47,0,0.32,0,404.98,295.98,2.69,3,1.9
34003040005,34,003,040005,324.24,232.09,3.9,0.61,0.37,0,0.24,0,312.05,228.19,2.07,2.32,1.46
34003040006,34,003,040006,274.68,196.61,3.3,0.52,0.31,0,0.21,0,264.35,193.31,1.76,1.96,1.24
34003045001,34,003,045001,1019.82,470.77,4.07,2.54,1.02,3.05,1.02,1.02,970,508.39,5.08,3.05,1.53
34003045002,34,003,045002,465.14,214.71,1.85,1.16,0.46,1.39,0.46,0.46,442.41,231.87,2.32,1.39,0.7
34003045003,34,003,045003,521.18,241,2.08,1.3,0.52,1.56,0.52,0.52,495.69,260.24,2.6,1.56,0.78
34003050001,34,003,050001,405.48,311.18,5.11,2.38,0.36,0.36,0.5,0.36,405.19,288.58,4.39,6.12,2.88
34003050002,34,003,050002,740.06,567.95,9.33,4.34,0.66,0.66,0.92,0.66,739.53,526.7,8.01,11.17,5.26
34003050003,34,003,050003,287.51,220.65,3.62,1.68,0.26,0.26,0.36,0.26,287.3,204.62,3.11,4.34,2.04
34003050004,34,003,050004,623.29,478.34,7.86,3.65,0.55,0.55,0.77,0.55,622.85,443.6,6.75,9.41,4.43
