GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PRESLAR,G20PREOHAM,G20PREOFUE,G20USSDBOO,G20USSRMEH,G20USSGHOF,G20USSOFER,G20USSOBUR
34039085002,34,039,085002,288.83,178.41,3.51,1.73,0.24,0,0,0.38,282.67,177.31,3.17,3.32,1.25
34039085003,34,039,085003,451.03,278.61,5.48,2.7,0.38,0,0,0.6,441.42,276.88,4.96,5.18,1.95
34039085004,34,039,085004,289.58,178.88,3.52,1.74,0.24,0,0,0.39,283.4,177.77,3.18,3.33,1.25
34039085005,34,039,085005,228.31,141.03,2.77,1.37,0.19,0,0,0.3,223.44,140.16,2.51,2.62,0.99
34039085006,34,039,085006,476.93,264.39,6.29,2.65,0.45,0.04,0.08,0.72,457.83,277.51,4.52,3.8,1.55
34039085007,34,039,085007,420.49,259.74,5.11,2.52,0.35,0,0,0.56,411.53,258.13,4.62,4.83,1.82
34039085008,34,039,085008,335.3,207.12,4.08,2.01,0.28,0,0,0.45,328.15,205.83,3.68,3.85,1.45
34039085009,34,039,085009,309.38,191.11,3.76,1.85,0.26,0,0,0.41,302.78,189.92,3.4,3.55,1.34
34039085010,34,039,085010,454.13,280.5,5.52,2.72,0.38,0,0,0.6,444.45,278.76,4.99,5.22,1.97
34039085011,34,039,085011,592.83,366.2,7.21,3.55,0.49,0,0,0.79,580.2,363.93,6.51,6.81,2.57
34039085012,34,039,085012,425.06,262.57,5.17,2.55,0.35,0,0,0.57,416,260.94,4.67,4.88,1.84
34039085013,34,039,085013,575.1,355.25,6.99,3.45,0.48,0,0,0.77,562.85,353.05,6.32,6.61,2.49
34039085014,34,039,085014,254.13,156.98,3.09,1.52,0.21,0,0,0.34,248.72,156.01,2.79,2.92,1.1
34039090101,34,039,090101,312.93,144.62,5.33,0.91,0.53,0.38,0.23,0.53,289.46,169.23,1.9,2.13,0.3
34039090102,34,039,090102,532.03,251.44,8.99,1.65,0.87,0.61,0.46,0.89,491.76,293.11,3.28,3.49,0.57
34039090103,34,039,090103,394.32,182.23,6.72,1.15,0.67,0.48,0.29,0.67,364.75,213.24,2.4,2.69,0.38
34039090104,34,039,090104,313.94,145.08,5.35,0.92,0.54,0.38,0.23,0.54,290.4,169.77,1.91,2.14,0.31
34039090105,34,039,090105,765.35,342.89,12.31,2.34,1.2,0.92,0.55,1.31,707.99,401.62,4.8,4.88,0.83
34039090106,34,039,090106,444.37,205.36,7.57,1.3,0.76,0.54,0.32,0.76,411.04,240.31,2.7,3.03,0.43
34039090107,34,039,090107,114.25,52.8,1.95,0.33,0.19,0.14,0.08,0.19,105.68,61.79,0.7,0.78,0.11
34039090108,34,039,090108,380.69,175.42,6.45,1.12,0.64,0.46,0.28,0.65,352.14,205.29,2.32,2.58,0.37
34039090109,34,039,090109,262.68,122.88,4.45,0.8,0.43,0.31,0.24,0.43,242.59,143.67,1.6,1.72,0.28
34039090110,34,039,090110,331.68,153.44,5.65,0.97,0.56,0.4,0.25,0.56,306.76,179.54,2.02,2.25,0.33
34039090111,34,039,090111,241.14,111.44,4.11,0.7,0.41,0.29,0.18,0.41,223.06,130.41,1.47,1.64,0.23
34039090112,34,039,090112,116.78,53.97,1.99,0.34,0.2,0.14,0.09,0.2,108.02,63.15,0.71,0.8,0.11
34039090201,34,039,090201,426.1,188.97,6.4,2.04,0.48,0.1,0.19,0.78,395.06,224.07,2.91,0.78,0.58
34039090202,34,039,090202,435.21,192.99,6.54,2.08,0.5,0.1,0.2,0.79,403.51,228.85,2.97,0.79,0.59
34039090203,34,039,090203,124.08,55.02,1.86,0.59,0.14,0.03,0.06,0.23,115.04,65.25,0.85,0.23,0.17
34039090204,34,039,090204,545.97,246.61,8.19,2.6,0.62,0.12,0.24,0.99,506.44,291.1,3.75,1.04,0.76
34039090205,34,039,090205,263.05,116.64,3.95,1.26,0.3,0.06,0.12,0.48,243.89,138.32,1.8,0.48,0.36
34039090206,34,039,090206,419.81,186.16,6.31,2.01,0.48,0.1,0.19,0.76,389.23,220.75,2.87,0.76,0.57
34039090207,34,039,090207,519.7,230.45,7.81,2.48,0.59,0.12,0.24,0.95,481.84,273.28,3.55,0.95,0.71
34039090208,34,039,090208,554.46,245.87,8.33,2.65,0.63,0.13,0.25,1.01,514.07,291.56,3.79,1.01,0.76
34039090209,34,039,090209,125.85,55.81,1.89,0.6,0.14,0.03,0.06,0.23,116.69,66.18,0.86,0.23,0.17
34039090210,34,039,090210,295.27,130.93,4.44,1.41,0.34,0.07,0.13,0.54,273.76,155.26,2.02,0.54,0.4
34039090211,34,039,090211,123.21,54.64,1.85,0.59,0.14,0.03,0.06,0.22,114.24,64.79,0.84,0.22,0.17
34039090212,34,039,090212,205.06,90.93,3.08,0.98,0.23,0.05,0.09,0.37,190.13,107.83,1.4,0.37,0.28
34039090213,34,039,090213,186.58,82.74,2.8,0.89,0.21,0.04,0.08,0.34,172.99,98.11,1.27,0.34,0.25
34039095001,34,039,095001,343.49,178.6,2.07,1.74,0.27,0.09,0.12,0.4,340.87,165.69,3.87,4.03,0.79
34039095002,34,039,095002,220.82,114.81,1.33,1.12,0.18,0.06,0.08,0.25,219.13,106.52,2.49,2.59,0.51
34039095003,34,039,095003,661.55,343.96,4,3.35,0.53,0.18,0.24,0.76,656.49,319.11,7.46,7.76,1.53
34039095004,34,039,095004,413.19,209.18,2.45,2.08,0.32,0.1,0.14,0.48,410.08,193.93,4.58,4.8,0.95
34039095005,34,039,095005,868.84,218.81,3.56,3.91,0.36,0,0,1.16,864.12,197.46,6.4,8.45,1.96
34039095006,34,039,095006,264.41,91.2,1.26,1.24,0.14,0.02,0.03,0.34,262.77,83.51,2.31,2.75,0.6
34039095007,34,039,095007,505.69,127.35,2.07,2.28,0.21,0,0,0.67,502.94,114.93,3.73,4.92,1.14
34039095008,34,039,095008,514.96,118.34,2.17,2.28,0.22,0.09,0.01,0.63,510.77,107.88,4.22,4.54,1.06
34039095009,34,039,095009,370.3,192.53,2.24,1.87,0.3,0.1,0.13,0.43,367.47,178.62,4.18,4.34,0.86
34039095010,34,039,095010,952.34,495.16,5.75,4.82,0.76,0.25,0.34,1.1,945.06,459.38,10.74,11.17,2.2
34039095011,34,039,095011,410.1,213.23,2.48,2.08,0.33,0.11,0.15,0.47,406.97,197.82,4.63,4.81,0.95
34039095012,34,039,095012,415.51,111.96,1.55,1.69,0.14,0.04,0.07,0.71,413.24,100.81,3.22,3.85,0.92
